* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:31:06
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado + 19 gr masa
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
238.883972	10.247643	32.9651
239.220428	10.254860	33.0019
239.556885	10.261704	33.0333
239.893341	10.268752	33.0688
240.229797	10.275517	33.1008
240.566254	10.282442	33.1368
240.902710	10.289414	33.1707
241.239166	10.296884	33.2038
241.575623	10.303299	33.2360
241.912079	10.310622	33.2702
242.248535	10.317225	33.3032
242.584991	10.324371	33.3364
242.921448	10.331232	33.3705
243.257904	10.338381	33.4024
243.594360	10.345181	33.4354
243.930817	10.352033	33.4696
244.267273	10.359469	33.5016
244.603729	10.365938	33.5341
244.940186	10.373268	33.5678
245.276642	10.380035	33.6001
245.613098	10.387095	33.6341
245.949554	10.394376	33.6664
246.286011	10.401329	33.6988
246.622467	10.408328	33.7300
246.958923	10.415320	33.7648
247.295380	10.422427	33.7942
247.631836	10.429090	33.8291
247.968292	10.436341	33.8616
248.304749	10.443530	33.8934
248.641205	10.450239	33.9256
248.977661	10.457706	33.9594
249.314117	10.464563	33.9884
249.650574	10.471891	34.0222
249.987030	10.478198	34.0496
250.323486	10.485313	34.0877
250.659943	10.492352	34.1164
250.996399	10.499502	34.1503
251.332855	10.506439	34.1817
251.669312	10.513824	34.2125
252.005768	10.520468	34.2443
252.342224	10.527740	34.2750
252.678680	10.534427	34.3078
253.015137	10.541877	34.3389
253.351593	10.548732	34.3698
253.688049	10.555815	34.4008
254.024506	10.562765	34.4330
254.360962	10.570070	34.4640
254.697418	10.577180	34.4939
255.033875	10.584023	34.5247
255.370331	10.591275	34.5555
255.706787	10.597997	34.5862
256.043243	10.605347	34.6179
256.379700	10.612435	34.6478
256.716156	10.619368	34.6775
257.052612	10.626406	34.7098
257.389069	10.633644	34.7388
257.725525	10.640508	34.7698
258.061981	10.647632	34.8006
258.398438	10.654776	34.8311
258.734894	10.661969	34.8610
259.071350	10.669063	34.8912
259.407806	10.676256	34.9202
259.744263	10.683428	34.9507
260.080719	10.690390	34.9777
260.417175	10.697448	35.0095
260.753632	10.704410	35.0371
261.090088	10.711656	35.0687
261.426544	10.718676	35.0964
261.763000	10.725923	35.1262
262.099457	10.732872	35.1558
262.435913	10.740323	35.1838
262.772369	10.747082	35.2131
263.108826	10.754439	35.2426
263.445282	10.761637	35.2719
263.781738	10.769123	35.3000
264.118195	10.776195	35.3261
264.454651	10.782923	35.3562
264.791107	10.790522	35.3847
265.127563	10.797453	35.4127
265.464020	10.804760	35.4401
265.800476	10.811439	35.4695
266.136932	10.818919	35.4987
266.473389	10.826035	35.5267
266.809845	10.833042	35.5551
267.146301	10.840425	35.5855
267.482758	10.847758	35.6125
267.819214	10.855166	35.6401
268.155670	10.861863	35.6672
268.492126	10.869361	35.6969
268.828583	10.876454	35.7232
269.165039	10.883517	35.7512
269.501495	10.890742	35.7796
269.837952	10.897895	35.8062
270.174408	10.905161	35.8335
270.510864	10.911796	35.8596
270.847321	10.919025	35.8899
271.183777	10.926337	35.9157
271.520233	10.933235	35.9436
271.856689	10.940677	35.9700
272.193146	10.947219	35.9967
272.529602	10.954796	36.0253
272.866058	10.961653	36.0509
273.202515	10.968858	36.0777
273.538971	10.975724	36.1061
273.875427	10.983212	36.1321
274.211884	10.990320	36.1595
274.548340	10.997573	36.1837
274.884796	11.004374	36.2111
275.221252	11.011725	36.2380
275.557709	11.018931	36.2624
275.894165	11.025730	36.2883
276.230621	11.032577	36.3149
276.567078	11.039823	36.3430
276.903534	11.047008	36.3683
277.239990	11.054246	36.3944
277.576447	11.061159	36.4198
277.912903	11.068361	36.4456
278.249359	11.075239	36.4725
278.585815	11.082706	36.4976
278.922272	11.089502	36.5231
279.258728	11.096606	36.5485
279.595184	11.103649	36.5762
279.931641	11.111038	36.5993
280.268097	11.117711	36.6264
280.604553	11.125102	36.6509
280.941010	11.132087	36.6769
281.277466	11.139030	36.7007
281.613922	11.145969	36.7283
281.950378	11.153314	36.7537
282.286835	11.160579	36.7784
282.623291	11.167673	36.8020
282.959747	11.174386	36.8270
283.296204	11.181528	36.8529
