	SM57_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2018.554688	-12.38	-67.26	0.99
2021.484375	-12.39	-67.73	0.99
2024.414063	-12.40	-68.26	0.99
2027.343750	-12.43	-68.83	0.97
2030.273438	-12.47	-69.38	0.91
2033.203125	-12.53	-69.81	0.68
2036.132813	-12.59	-70.15	0.90
2039.062500	-12.65	-70.45	0.97
2041.992188	-12.71	-70.66	0.95
2044.921875	-12.77	-70.82	0.91
2047.851563	-12.81	-70.95	0.96
2050.781250	-12.84	-71.10	0.99
2053.710938	-12.87	-71.25	0.95
2056.640625	-12.90	-71.34	0.83
2059.570313	-12.93	-71.43	0.94
2062.500000	-12.95	-71.52	0.94
2065.429688	-12.97	-71.60	0.95
2068.359375	-12.99	-71.69	0.98
2071.289063	-13.01	-71.84	0.96
2074.218750	-13.04	-71.98	0.98
2077.148438	-13.06	-72.12	0.99
2080.078125	-13.09	-72.27	0.99
2083.007813	-13.12	-72.42	0.99
2085.937500	-13.15	-72.55	0.94
2088.867188	-13.18	-72.62	0.96
2091.796875	-13.23	-72.63	0.98
2094.726563	-13.27	-72.52	0.93
2097.656250	-13.32	-72.31	0.89
2100.585938	-13.36	-72.04	0.65
2103.515625	-13.38	-71.73	0.21
2106.445313	-13.38	-71.41	0.87
2109.375000	-13.36	-71.17	0.95
2112.304688	-13.34	-71.02	0.98
2115.234375	-13.32	-70.99	0.99
2118.164063	-13.30	-71.04	1.00
