	SM57_TF_0_180		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1634.765625	-12.55	-51.93	0.98
1637.695313	-12.59	-52.38	0.93
1640.625000	-12.64	-52.71	0.93
1643.554688	-12.69	-52.86	0.84
1646.484375	-12.74	-52.90	0.79
1649.414063	-12.77	-52.94	0.90
1652.343750	-12.79	-53.02	0.96
1655.273438	-12.82	-53.17	0.99
1658.203125	-12.86	-53.36	0.99
1661.132813	-12.91	-53.58	0.98
1664.062500	-12.97	-53.77	0.97
1666.992188	-13.04	-53.88	0.97
1669.921875	-13.12	-53.76	0.92
1672.851563	-13.23	-53.35	0.81
1675.781250	-13.32	-52.74	0.65
1678.710938	-13.40	-51.94	0.35
1681.640625	-13.45	-51.11	0.61
1684.570313	-13.48	-50.37	0.92
1687.500000	-13.50	-49.76	0.96
1690.429688	-13.50	-49.27	0.96
1693.359375	-13.50	-48.89	0.98
1696.289063	-13.49	-48.62	0.99
1699.218750	-13.48	-48.46	0.98
1702.148438	-13.47	-48.38	0.99
1705.078125	-13.46	-48.33	0.99
1708.007813	-13.45	-48.26	0.99
1710.937500	-13.45	-48.19	0.94
1713.867188	-13.45	-48.09	0.96
1716.796875	-13.43	-47.99	0.90
1719.726563	-13.40	-47.92	0.95
1722.656250	-13.37	-47.95	0.97
1725.585938	-13.33	-48.06	0.97
1728.515625	-13.30	-48.16	0.98
1731.445313	-13.26	-48.26	0.96
1734.375000	-13.22	-48.33	0.95
1737.304688	-13.17	-48.38	0.95
1740.234375	-13.11	-48.42	0.98
1743.164063	-13.05	-48.54	0.99
1746.093750	-13.00	-48.74	0.99
1749.023438	-12.95	-48.99	0.99
1751.953125	-12.91	-49.24	0.99
1754.882813	-12.87	-49.48	0.98
1757.812500	-12.83	-49.68	0.96
1760.742188	-12.79	-49.88	0.96
1763.671875	-12.75	-50.06	0.95
1766.601563	-12.72	-50.20	0.94
1769.531250	-12.68	-50.31	0.93
1772.460938	-12.63	-50.45	0.99
1775.390625	-12.58	-50.64	0.98
1778.320313	-12.54	-50.88	0.94
1781.250000	-12.49	-51.15	0.94
1784.179688	-12.45	-51.45	0.93
1787.109375	-12.42	-51.83	0.92
1790.039063	-12.39	-52.25	0.99
1792.968750	-12.37	-52.72	0.99
1795.898438	-12.36	-53.19	0.94
1798.828125	-12.37	-53.62	0.94
1801.757813	-12.37	-53.95	0.92
1804.687500	-12.37	-54.24	0.95
1807.617188	-12.37	-54.58	0.97
1810.546875	-12.39	-54.92	0.91
1813.476563	-12.41	-55.21	0.87
1816.406250	-12.43	-55.47	0.84
1819.335938	-12.44	-55.69	0.86
1822.265625	-12.45	-55.88	0.96
1825.195313	-12.46	-56.05	0.83
1828.125000	-12.45	-56.23	0.89
1831.054688	-12.44	-56.48	0.98
1833.984375	-12.43	-56.81	0.98
1836.914063	-12.43	-57.17	0.95
1839.843750	-12.44	-57.50	0.97
1842.773438	-12.46	-57.76	0.97
1845.703125	-12.47	-58.00	0.96
1848.632813	-12.48	-58.20	0.98
1851.562500	-12.49	-58.39	0.98
1854.492188	-12.48	-58.58	0.98
1857.421875	-12.48	-58.78	0.98
1860.351563	-12.48	-59.00	0.95
1863.281250	-12.48	-59.25	0.93
1866.210938	-12.49	-59.52	0.93
1869.140625	-12.51	-59.59	0.75
1872.070313	-12.52	-59.64	0.84
1875.000000	-12.53	-59.64	0.84
1877.929688	-12.52	-59.62	0.73
1880.859375	-12.49	-59.59	0.73
1883.789063	-12.45	-59.58	0.93
1886.718750	-12.41	-59.63	0.99
1889.648438	-12.37	-59.72	0.98
1892.578125	-12.33	-59.82	0.96
1895.507813	-12.28	-59.87	0.83
1898.437500	-12.24	-59.89	0.75
1901.367188	-12.19	-59.95	0.94
1904.296875	-12.14	-60.10	0.98
1907.226563	-12.09	-60.27	0.93
1910.156250	-12.05	-60.44	0.89
1913.085938	-12.03	-60.61	0.69
1916.015625	-12.01	-60.79	0.68
1918.945313	-12.00	-61.00	0.90
1921.875000	-11.98	-61.19	0.91
1924.804688	-11.97	-61.35	0.83
1927.734375	-11.95	-61.49	0.83
1930.664063	-11.93	-61.73	0.90
1933.593750	-11.90	-61.92	0.93
1936.523438	-11.87	-62.23	0.97
1939.453125	-11.84	-62.58	0.94
1942.382813	-11.83	-62.97	0.85
1945.312500	-11.82	-63.49	0.77
1948.242188	-11.82	-64.09	0.71
1951.171875	-11.84	-64.59	0.93
1954.101563	-11.86	-64.99	0.80
1957.031250	-11.88	-65.41	0.67
1959.960938	-11.90	-65.77	0.70
1962.890625	-11.90	-66.14	0.90
1965.820313	-11.89	-66.50	0.96
1968.750000	-11.87	-66.87	0.93
1971.679688	-11.85	-67.29	0.92
1974.609375	-11.82	-67.73	0.98
1977.539063	-11.80	-68.22	0.98
1980.468750	-11.78	-68.72	0.98
1983.398438	-11.76	-69.22	0.99
1986.328125	-11.75	-69.82	0.99
1989.257813	-11.75	-70.47	0.99
1992.187500	-11.76	-71.11	1.00
1995.117188	-11.78	-71.74	1.00
1998.046875	-11.80	-72.34	0.98
2000.976563	-11.83	-72.86	0.96
2003.906250	-11.87	-73.31	0.96
2006.835938	-11.90	-73.73	0.94
2009.765625	-11.93	-74.09	0.76
2012.695313	-11.97	-74.37	0.91
2015.625000	-11.98	-74.68	0.95
2018.554688	-11.99	-75.04	0.99
2021.484375	-12.00	-75.47	0.97
2024.414063	-12.01	-75.92	0.98
2027.343750	-12.03	-76.41	0.96
2030.273438	-12.07	-76.93	0.97
2033.203125	-12.11	-77.34	0.80
2036.132813	-12.16	-77.68	0.93
2039.062500	-12.20	-78.02	0.98
2041.992188	-12.24	-78.37	0.99
2044.921875	-12.27	-78.70	0.99
2047.851563	-12.30	-79.03	0.98
2050.781250	-12.34	-79.36	0.95
2053.710938	-12.37	-79.68	0.90
2056.640625	-12.40	-79.92	0.65
2059.570313	-12.43	-80.13	0.88
2062.500000	-12.45	-80.38	0.94
2065.429688	-12.47	-80.66	0.98
2068.359375	-12.49	-80.94	0.99
2071.289063	-12.50	-81.25	0.97
2074.218750	-12.52	-81.58	0.98
2077.148438	-12.54	-81.92	0.99
2080.078125	-12.56	-82.30	0.98
2083.007813	-12.59	-82.71	0.98
2085.937500	-12.62	-83.15	0.94
2088.867188	-12.67	-83.50	0.94
2091.796875	-12.73	-83.81	0.97
2094.726563	-12.79	-84.06	0.94
2097.656250	-12.86	-84.18	0.85
2100.585938	-12.93	-84.20	0.79
2103.515625	-12.98	-84.14	0.46
2106.445313	-13.01	-84.07	0.74
2109.375000	-13.02	-83.99	0.78
2112.304688	-13.01	-83.91	0.91
2115.234375	-12.99	-83.91	0.94
