	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1792.968750	-7.32	-12.72	0.62
1795.898438	-7.32	-12.50	0.94
1798.828125	-7.32	-12.35	0.93
1801.757813	-7.33	-12.27	0.92
1804.687500	-7.33	-12.27	0.88
1807.617188	-7.33	-12.29	0.85
1810.546875	-7.32	-12.34	0.83
1813.476563	-7.32	-12.36	0.83
1816.406250	-7.32	-12.33	0.89
1819.335938	-7.32	-12.27	0.90
1822.265625	-7.32	-12.18	0.91
1825.195313	-7.32	-12.16	0.95
1828.125000	-7.32	-12.10	0.74
1831.054688	-7.32	-12.00	0.61
1833.984375	-7.33	-11.85	0.98
1836.914063	-7.33	-11.81	0.98
1839.843750	-7.34	-11.90	0.92
1842.773438	-7.34	-12.05	0.80
1845.703125	-7.34	-12.15	0.81
1848.632813	-7.35	-12.17	0.86
1851.562500	-7.35	-12.16	0.83
1854.492188	-7.36	-12.20	0.94
1857.421875	-7.37	-12.25	0.94
1860.351563	-7.37	-12.30	0.84
1863.281250	-7.38	-12.29	0.95
1866.210938	-7.39	-12.31	0.77
1869.140625	-7.40	-12.41	0.86
1872.070313	-7.41	-12.57	0.95
1875.000000	-7.42	-12.74	0.94
1877.929688	-7.43	-12.90	0.86
1880.859375	-7.44	-13.02	0.82
1883.789063	-7.45	-13.10	0.88
1886.718750	-7.47	-13.17	0.89
1889.648438	-7.48	-13.23	0.88
1892.578125	-7.49	-13.25	0.78
1895.507813	-7.51	-13.25	0.68
1898.437500	-7.52	-13.17	0.71
1901.367188	-7.54	-13.03	0.84
1904.296875	-7.55	-12.88	0.84
1907.226563	-7.56	-12.74	0.85
1910.156250	-7.57	-12.62	0.75
1913.085938	-7.58	-12.51	0.62
1916.015625	-7.59	-12.45	0.75
1918.945313	-7.60	-12.44	0.80
1921.875000	-7.61	-12.49	0.73
1924.804688	-7.62	-12.60	0.84
1927.734375	-7.63	-12.74	0.80
1930.664063	-7.64	-12.88	0.75
1933.593750	-7.64	-13.04	0.90
1936.523438	-7.65	-13.19	0.86
1939.453125	-7.65	-13.35	0.74
1942.382813	-7.66	-13.47	0.65
1945.312500	-7.66	-13.51	0.76
1948.242188	-7.66	-13.53	0.83
1951.171875	-7.66	-13.55	0.70
1954.101563	-7.67	-13.63	0.63
1957.031250	-7.67	-13.72	0.52
1959.960938	-7.67	-13.79	0.59
1962.890625	-7.67	-13.80	0.76
1965.820313	-7.67	-13.78	0.78
1968.750000	-7.68	-13.75	0.91
1971.679688	-7.68	-13.71	0.83
1974.609375	-7.68	-13.67	0.66
1977.539063	-7.68	-13.62	0.61
1980.468750	-7.68	-13.53	0.45
1983.398438	-7.68	-13.42	0.60
1986.328125	-7.68	-13.28	0.67
1989.257813	-7.68	-13.08	0.75
1992.187500	-7.68	-12.89	0.91
1995.117188	-7.67	-12.71	0.79
1998.046875	-7.67	-12.58	0.84
2000.976563	-7.67	-12.46	0.82
2003.906250	-7.66	-12.34	0.88
2006.835938	-7.66	-12.24	0.73
2009.765625	-7.65	-12.09	0.57
2012.695313	-7.64	-11.91	0.55
2015.625000	-7.63	-11.76	0.72
2018.554688	-7.61	-11.64	0.61
2021.484375	-7.60	-11.63	0.81
2024.414063	-7.59	-11.63	0.91
2027.343750	-7.58	-11.62	0.92
2030.273438	-7.57	-11.59	0.90
2033.203125	-7.56	-11.58	0.87
2036.132813	-7.54	-11.58	0.90
2039.062500	-7.53	-11.60	0.93
2041.992188	-7.52	-11.63	0.92
2044.921875	-7.51	-11.68	0.91
2047.851563	-7.50	-11.72	0.89
2050.781250	-7.49	-11.79	0.88
2053.710938	-7.48	-11.89	0.89
