	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1417.968750	-8.33	-5.85	0.88
1420.898438	-8.31	-5.61	0.81
1423.828125	-8.29	-5.30	0.82
1426.757813	-8.25	-4.99	0.93
1429.687500	-8.22	-4.67	0.93
1432.617188	-8.20	-4.39	0.85
1435.546875	-8.19	-4.08	0.88
1438.476563	-8.18	-3.82	0.93
1441.406250	-8.18	-3.64	0.96
1444.335938	-8.18	-3.50	0.98
1447.265625	-8.19	-3.39	0.95
1450.195313	-8.20	-3.26	0.91
1453.125000	-8.22	-3.19	0.88
1456.054688	-8.22	-3.08	0.94
1458.984375	-8.22	-3.02	0.88
1461.914063	-8.23	-2.97	0.82
1464.843750	-8.24	-2.77	0.69
1467.773438	-8.22	-2.49	0.50
1470.703125	-8.18	-2.28	0.75
1473.632813	-8.15	-2.23	0.89
1476.562500	-8.11	-2.34	0.84
1479.492188	-8.07	-2.57	0.81
1482.421875	-8.02	-2.85	0.79
1485.351563	-7.95	-3.15	0.90
1488.281250	-7.88	-3.42	0.92
1491.210938	-7.80	-3.62	0.80
1494.140625	-7.73	-3.84	0.79
1497.070313	-7.66	-4.04	0.72
1500.000000	-7.59	-4.26	0.84
1502.929688	-7.51	-4.48	0.91
1505.859375	-7.43	-4.73	0.90
1508.789063	-7.36	-4.96	0.87
1511.718750	-7.28	-5.13	0.98
1514.648438	-7.22	-5.31	0.95
1517.578125	-7.15	-5.45	0.78
1520.507813	-7.09	-5.61	0.82
1523.437500	-7.02	-5.75	0.90
1526.367188	-6.97	-5.92	0.98
1529.296875	-6.92	-6.11	0.97
1532.226563	-6.88	-6.33	0.96
1535.156250	-6.84	-6.58	0.97
1538.085938	-6.80	-6.81	0.97
1541.015625	-6.77	-7.06	0.96
1543.945313	-6.74	-7.30	0.86
1546.875000	-6.70	-7.57	0.83
1549.804688	-6.65	-7.82	0.91
1552.734375	-6.61	-8.03	0.92
1555.664063	-6.57	-8.22	0.85
1558.593750	-6.52	-8.35	0.89
1561.523438	-6.49	-8.47	0.90
1564.453125	-6.46	-8.59	0.90
1567.382813	-6.43	-8.74	0.90
1570.312500	-6.39	-8.90	0.89
