	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1291.992188	-5.09	-48.63	0.99
1294.921875	-5.14	-48.59	0.99
1297.851563	-5.19	-48.51	1.00
1300.781250	-5.22	-48.37	1.00
1303.710938	-5.25	-48.16	1.00
1306.640625	-5.28	-47.91	1.00
1309.570313	-5.29	-47.65	1.00
1312.500000	-5.30	-47.41	1.00
1315.429688	-5.31	-47.22	1.00
1318.359375	-5.32	-47.07	0.99
1321.289063	-5.33	-46.95	1.00
1324.218750	-5.34	-46.84	0.99
1327.148438	-5.35	-46.74	1.00
1330.078125	-5.36	-46.66	1.00
1333.007813	-5.36	-46.59	1.00
1335.937500	-5.36	-46.53	1.00
1338.867188	-5.36	-46.51	1.00
1341.796875	-5.36	-46.50	0.99
1344.726563	-5.36	-46.52	0.96
1347.656250	-5.37	-46.48	0.97
1350.585938	-5.38	-46.46	0.98
1353.515625	-5.38	-46.42	0.98
1356.445313	-5.38	-46.40	0.97
1359.375000	-5.38	-46.38	0.99
1362.304688	-5.39	-46.38	1.00
1365.234375	-5.40	-46.38	0.99
1368.164063	-5.40	-46.38	0.99
1371.093750	-5.41	-46.36	1.00
1374.023438	-5.42	-46.31	0.99
1376.953125	-5.43	-46.25	0.97
1379.882813	-5.44	-46.18	0.96
1382.812500	-5.44	-46.08	0.98
1385.742188	-5.44	-46.02	0.99
1388.671875	-5.42	-46.00	0.99
1391.601563	-5.40	-46.02	1.00
1394.531250	-5.38	-46.13	1.00
1397.460938	-5.36	-46.26	1.00
1400.390625	-5.34	-46.41	1.00
1403.320313	-5.32	-46.58	1.00
1406.250000	-5.30	-46.76	1.00
1409.179688	-5.28	-46.91	1.00
1412.109375	-5.26	-47.08	1.00
1415.039063	-5.24	-47.27	1.00
1417.968750	-5.22	-47.46	1.00
1420.898438	-5.20	-47.66	1.00
1423.828125	-5.19	-47.88	1.00
1426.757813	-5.18	-48.13	1.00
1429.687500	-5.17	-48.37	1.00
1432.617188	-5.17	-48.60	1.00
1435.546875	-5.18	-48.79	1.00
1438.476563	-5.18	-48.95	1.00
1441.406250	-5.19	-49.10	1.00
1444.335938	-5.19	-49.21	1.00
1447.265625	-5.19	-49.30	1.00
1450.195313	-5.20	-49.35	1.00
1453.125000	-5.20	-49.38	1.00
1456.054688	-5.19	-49.37	1.00
1458.984375	-5.18	-49.35	1.00
1461.914063	-5.16	-49.32	1.00
1464.843750	-5.13	-49.28	1.00
1467.773438	-5.11	-49.26	1.00
1470.703125	-5.08	-49.24	1.00
1473.632813	-5.06	-49.23	1.00
1476.562500	-5.03	-49.20	1.00
1479.492188	-5.00	-49.18	1.00
1482.421875	-4.97	-49.15	1.00
1485.351563	-4.94	-49.13	1.00
1488.281250	-4.91	-49.11	1.00
1491.210938	-4.88	-49.11	1.00
1494.140625	-4.85	-49.11	1.00
1497.070313	-4.82	-49.10	1.00
1500.000000	-4.78	-49.10	1.00
1502.929688	-4.74	-49.11	1.00
1505.859375	-4.70	-49.13	1.00
1508.789063	-4.66	-49.17	1.00
1511.718750	-4.62	-49.22	1.00
1514.648438	-4.58	-49.27	1.00
1517.578125	-4.54	-49.34	1.00
1520.507813	-4.50	-49.43	1.00
1523.437500	-4.46	-49.53	1.00
1526.367188	-4.41	-49.64	1.00
1529.296875	-4.37	-49.74	1.00
1532.226563	-4.33	-49.83	1.00
1535.156250	-4.29	-49.92	1.00
1538.085938	-4.25	-50.02	1.00
1541.015625	-4.20	-50.14	1.00
1543.945313	-4.16	-50.27	1.00
1546.875000	-4.12	-50.42	0.99
1549.804688	-4.09	-50.60	0.98
1552.734375	-4.06	-50.83	0.98
1555.664063	-4.02	-51.10	0.99
1558.593750	-3.99	-51.40	0.99
1561.523438	-3.97	-51.74	0.98
1564.453125	-3.95	-52.09	0.99
1567.382813	-3.93	-52.47	0.98
1570.312500	-3.91	-52.85	0.96
1573.242188	-3.88	-53.23	0.93
1576.171875	-3.85	-53.60	0.97
1579.101563	-3.82	-53.97	0.99
1582.031250	-3.79	-54.32	0.99
1584.960938	-3.76	-54.67	1.00
1587.890625	-3.73	-55.03	0.99
1590.820313	-3.71	-55.39	0.99
1593.750000	-3.68	-55.76	1.00
1596.679688	-3.65	-56.13	1.00
1599.609375	-3.62	-56.49	0.99
1602.539063	-3.59	-56.86	0.99
1605.468750	-3.57	-57.24	0.99
1608.398438	-3.55	-57.59	0.99
1611.328125	-3.52	-57.93	0.99
1614.257813	-3.51	-58.30	0.99
1617.187500	-3.49	-58.69	0.99
1620.117188	-3.48	-59.08	0.98
1623.046875	-3.47	-59.49	0.97
1625.976563	-3.45	-59.92	0.99
1628.906250	-3.44	-60.35	0.99
1631.835938	-3.42	-60.80	0.99
1634.765625	-3.41	-61.21	0.99
1637.695313	-3.40	-61.60	0.99
1640.625000	-3.40	-61.96	0.99
1643.554688	-3.39	-62.30	0.99
1646.484375	-3.40	-62.60	0.99
1649.414063	-3.40	-62.89	1.00
1652.343750	-3.41	-63.16	1.00
1655.273438	-3.41	-63.42	0.99
1658.203125	-3.42	-63.69	0.99
1661.132813	-3.43	-63.96	0.99
1664.062500	-3.44	-64.19	1.00
1666.992188	-3.45	-64.40	1.00
1669.921875	-3.46	-64.61	1.00
1672.851563	-3.47	-64.79	0.99
1675.781250	-3.48	-64.94	1.00
1678.710938	-3.50	-65.05	1.00
1681.640625	-3.51	-65.15	0.99
