	SM57_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1728.515625	-0.90	-25.42	1.00
1731.445313	-0.91	-25.58	0.99
1734.375000	-0.92	-25.70	1.00
1737.304688	-0.93	-25.79	1.00
1740.234375	-0.94	-25.86	1.00
1743.164063	-0.95	-25.91	1.00
1746.093750	-0.96	-25.96	1.00
1749.023438	-0.97	-26.00	1.00
1751.953125	-0.98	-26.02	1.00
1754.882813	-0.99	-26.03	1.00
1757.812500	-1.00	-26.00	1.00
1760.742188	-1.01	-25.97	1.00
1763.671875	-1.02	-25.93	1.00
1766.601563	-1.03	-25.89	1.00
1769.531250	-1.04	-25.85	1.00
1772.460938	-1.04	-25.81	1.00
1775.390625	-1.05	-25.78	1.00
1778.320313	-1.06	-25.74	1.00
1781.250000	-1.06	-25.72	1.00
1784.179688	-1.07	-25.71	0.99
1787.109375	-1.07	-25.71	1.00
1790.039063	-1.07	-25.71	1.00
1792.968750	-1.08	-25.72	1.00
1795.898438	-1.08	-25.73	1.00
1798.828125	-1.09	-25.75	1.00
1801.757813	-1.09	-25.78	1.00
1804.687500	-1.09	-25.82	0.99
1807.617188	-1.10	-25.90	0.99
1810.546875	-1.10	-25.99	0.99
1813.476563	-1.11	-26.07	0.99
1816.406250	-1.12	-26.14	1.00
1819.335938	-1.12	-26.18	1.00
1822.265625	-1.13	-26.18	0.99
1825.195313	-1.14	-26.15	1.00
1828.125000	-1.15	-26.10	0.99
1831.054688	-1.15	-26.04	1.00
1833.984375	-1.16	-25.98	1.00
1836.914063	-1.16	-25.93	0.99
1839.843750	-1.16	-25.88	0.99
1842.773438	-1.17	-25.83	0.99
1845.703125	-1.17	-25.75	0.99
1848.632813	-1.17	-25.68	0.99
1851.562500	-1.17	-25.62	0.99
1854.492188	-1.17	-25.55	1.00
1857.421875	-1.17	-25.49	0.99
1860.351563	-1.17	-25.45	0.99
1863.281250	-1.17	-25.43	0.99
1866.210938	-1.17	-25.39	0.99
1869.140625	-1.16	-25.36	0.98
1872.070313	-1.16	-25.36	0.98
1875.000000	-1.16	-25.38	0.98
1877.929688	-1.16	-25.42	0.99
1880.859375	-1.16	-25.48	0.99
1883.789063	-1.15	-25.55	0.99
1886.718750	-1.15	-25.62	1.00
1889.648438	-1.15	-25.70	1.00
1892.578125	-1.15	-25.77	1.00
1895.507813	-1.15	-25.85	0.99
1898.437500	-1.15	-25.94	0.99
1901.367188	-1.16	-26.09	0.99
1904.296875	-1.16	-26.24	0.99
1907.226563	-1.16	-26.40	0.98
1910.156250	-1.16	-26.58	0.98
1913.085938	-1.16	-26.73	0.98
1916.015625	-1.17	-26.85	0.99
1918.945313	-1.17	-26.94	0.99
1921.875000	-1.18	-26.99	1.00
1924.804688	-1.18	-27.03	1.00
1927.734375	-1.19	-27.05	1.00
1930.664063	-1.19	-27.05	1.00
1933.593750	-1.19	-27.04	1.00
1936.523438	-1.20	-27.00	0.99
1939.453125	-1.20	-26.96	0.99
1942.382813	-1.20	-26.93	0.99
1945.312500	-1.20	-26.89	0.98
1948.242188	-1.20	-26.88	0.98
1951.171875	-1.20	-26.89	1.00
1954.101563	-1.20	-26.93	0.99
1957.031250	-1.20	-26.95	0.99
1959.960938	-1.21	-26.94	1.00
1962.890625	-1.21	-26.91	1.00
1965.820313	-1.21	-26.85	1.00
1968.750000	-1.21	-26.79	1.00
1971.679688	-1.22	-26.71	1.00
1974.609375	-1.21	-26.63	1.00
1977.539063	-1.21	-26.55	1.00
1980.468750	-1.21	-26.48	1.00
1983.398438	-1.21	-26.43	1.00
1986.328125	-1.20	-26.40	1.00
1989.257813	-1.20	-26.39	1.00
1992.187500	-1.20	-26.39	1.00
1995.117188	-1.19	-26.41	1.00
1998.046875	-1.19	-26.45	0.99
2000.976563	-1.18	-26.50	1.00
2003.906250	-1.18	-26.55	1.00
2006.835938	-1.18	-26.60	1.00
2009.765625	-1.18	-26.64	0.99
2012.695313	-1.18	-26.65	1.00
2015.625000	-1.18	-26.65	1.00
2018.554688	-1.17	-26.63	1.00
2021.484375	-1.17	-26.59	1.00
2024.414063	-1.17	-26.56	1.00
2027.343750	-1.16	-26.52	1.00
2030.273438	-1.16	-26.49	1.00
2033.203125	-1.15	-26.46	1.00
2036.132813	-1.15	-26.43	1.00
