	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1388.671875	-27.37	1.91	1.00
1391.601563	-27.36	2.00	1.00
1394.531250	-27.35	2.09	1.00
1397.460938	-27.34	2.18	1.00
1400.390625	-27.32	2.26	1.00
1403.320313	-27.30	2.33	1.00
1406.250000	-27.28	2.40	1.00
1409.179688	-27.25	2.44	1.00
1412.109375	-27.23	2.48	1.00
1415.039063	-27.20	2.51	1.00
1417.968750	-27.17	2.52	1.00
1420.898438	-27.15	2.51	1.00
1423.828125	-27.12	2.49	1.00
1426.757813	-27.08	2.44	1.00
1429.687500	-27.05	2.38	1.00
1432.617188	-27.02	2.29	1.00
1435.546875	-27.00	2.19	1.00
1438.476563	-26.97	2.07	1.00
1441.406250	-26.95	1.95	1.00
1444.335938	-26.93	1.82	1.00
1447.265625	-26.92	1.69	1.00
1450.195313	-26.90	1.58	1.00
1453.125000	-26.89	1.48	1.00
1456.054688	-26.87	1.38	1.00
1458.984375	-26.86	1.29	1.00
1461.914063	-26.84	1.18	1.00
1464.843750	-26.82	1.08	1.00
1467.773438	-26.81	0.96	1.00
1470.703125	-26.79	0.84	1.00
1473.632813	-26.78	0.72	1.00
1476.562500	-26.77	0.62	1.00
1479.492188	-26.76	0.53	1.00
1482.421875	-26.75	0.46	1.00
1485.351563	-26.74	0.41	1.00
1488.281250	-26.73	0.37	1.00
1491.210938	-26.72	0.35	1.00
1494.140625	-26.70	0.33	1.00
1497.070313	-26.67	0.31	1.00
1500.000000	-26.64	0.27	1.00
1502.929688	-26.60	0.22	1.00
1505.859375	-26.55	0.15	1.00
1508.789063	-26.50	0.04	1.00
1511.718750	-26.45	-0.11	1.00
1514.648438	-26.40	-0.31	1.00
1517.578125	-26.35	-0.55	1.00
1520.507813	-26.30	-0.86	1.00
1523.437500	-26.26	-1.22	1.00
1526.367188	-26.22	-1.63	1.00
1529.296875	-26.18	-2.08	1.00
1532.226563	-26.16	-2.57	1.00
1535.156250	-26.14	-3.10	1.00
1538.085938	-26.13	-3.62	1.00
1541.015625	-26.13	-4.15	1.00
1543.945313	-26.14	-4.68	1.00
1546.875000	-26.16	-5.19	1.00
1549.804688	-26.19	-5.69	1.00
1552.734375	-26.22	-6.18	1.00
1555.664063	-26.25	-6.63	1.00
1558.593750	-26.30	-7.03	1.00
1561.523438	-26.35	-7.37	1.00
1564.453125	-26.40	-7.66	1.00
1567.382813	-26.45	-7.90	1.00
1570.312500	-26.50	-8.08	1.00
1573.242188	-26.55	-8.23	1.00
1576.171875	-26.60	-8.35	1.00
1579.101563	-26.64	-8.46	1.00
1582.031250	-26.68	-8.56	1.00
1584.960938	-26.71	-8.65	1.00
1587.890625	-26.74	-8.74	1.00
1590.820313	-26.77	-8.83	1.00
1593.750000	-26.80	-8.93	1.00
1596.679688	-26.83	-9.03	1.00
1599.609375	-26.86	-9.14	1.00
1602.539063	-26.88	-9.26	1.00
1605.468750	-26.91	-9.40	1.00
1608.398438	-26.94	-9.55	1.00
1611.328125	-26.97	-9.72	1.00
1614.257813	-27.00	-9.90	1.00
1617.187500	-27.04	-10.09	1.00
1620.117188	-27.08	-10.27	1.00
1623.046875	-27.13	-10.44	1.00
1625.976563	-27.18	-10.58	1.00
1628.906250	-27.24	-10.69	1.00
1631.835938	-27.30	-10.75	1.00
1634.765625	-27.36	-10.78	1.00
1637.695313	-27.42	-10.76	1.00
1640.625000	-27.49	-10.69	1.00
1643.554688	-27.55	-10.59	1.00
1646.484375	-27.60	-10.44	1.00
1649.414063	-27.66	-10.26	1.00
1652.343750	-27.71	-10.05	1.00
1655.273438	-27.76	-9.80	1.00
1658.203125	-27.80	-9.53	1.00
1661.132813	-27.84	-9.23	1.00
1664.062500	-27.87	-8.90	1.00
1666.992188	-27.89	-8.57	1.00
1669.921875	-27.91	-8.21	1.00
1672.851563	-27.92	-7.86	1.00
1675.781250	-27.92	-7.51	1.00
