	ECM8000_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1511.718750	-7.22	-2.35	1.00
1514.648438	-7.23	-2.18	1.00
1517.578125	-7.25	-1.98	1.00
1520.507813	-7.26	-1.76	1.00
1523.437500	-7.26	-1.55	1.00
1526.367188	-7.25	-1.33	1.00
1529.296875	-7.24	-1.13	1.00
1532.226563	-7.23	-0.96	1.00
1535.156250	-7.20	-0.82	1.00
1538.085938	-7.18	-0.73	1.00
1541.015625	-7.16	-0.69	1.00
1543.945313	-7.14	-0.68	1.00
1546.875000	-7.12	-0.69	1.00
1549.804688	-7.10	-0.72	1.00
1552.734375	-7.09	-0.77	1.00
1555.664063	-7.08	-0.83	1.00
1558.593750	-7.07	-0.89	1.00
1561.523438	-7.06	-0.97	1.00
1564.453125	-7.06	-1.04	1.00
1567.382813	-7.06	-1.11	1.00
1570.312500	-7.06	-1.17	1.00
1573.242188	-7.06	-1.23	1.00
1576.171875	-7.07	-1.29	1.00
1579.101563	-7.07	-1.34	1.00
1582.031250	-7.08	-1.40	1.00
1584.960938	-7.08	-1.46	1.00
1587.890625	-7.09	-1.53	1.00
1590.820313	-7.10	-1.60	1.00
1593.750000	-7.11	-1.66	1.00
1596.679688	-7.12	-1.72	1.00
1599.609375	-7.14	-1.78	1.00
1602.539063	-7.16	-1.82	1.00
1605.468750	-7.18	-1.84	1.00
1608.398438	-7.20	-1.84	1.00
1611.328125	-7.23	-1.83	1.00
1614.257813	-7.26	-1.79	1.00
1617.187500	-7.29	-1.71	1.00
1620.117188	-7.32	-1.61	1.00
1623.046875	-7.35	-1.48	1.00
1625.976563	-7.38	-1.31	1.00
1628.906250	-7.41	-1.12	1.00
1631.835938	-7.43	-0.90	1.00
1634.765625	-7.45	-0.66	1.00
1637.695313	-7.46	-0.40	1.00
1640.625000	-7.48	-0.14	1.00
1643.554688	-7.48	0.14	1.00
1646.484375	-7.49	0.43	1.00
1649.414063	-7.49	0.72	1.00
1652.343750	-7.49	1.02	1.00
1655.273438	-7.48	1.33	1.00
1658.203125	-7.47	1.65	1.00
1661.132813	-7.45	1.98	1.00
1664.062500	-7.43	2.30	1.00
1666.992188	-7.40	2.63	1.00
1669.921875	-7.36	2.96	1.00
1672.851563	-7.32	3.27	1.00
1675.781250	-7.26	3.56	1.00
1678.710938	-7.20	3.81	1.00
1681.640625	-7.12	4.01	1.00
1684.570313	-7.05	4.16	1.00
1687.500000	-6.96	4.22	1.00
1690.429688	-6.88	4.21	1.00
1693.359375	-6.80	4.12	1.00
1696.289063	-6.72	3.96	1.00
1699.218750	-6.65	3.71	1.00
1702.148438	-6.58	3.40	1.00
1705.078125	-6.53	3.04	1.00
1708.007813	-6.48	2.63	1.00
1710.937500	-6.45	2.18	1.00
1713.867188	-6.42	1.71	1.00
1716.796875	-6.41	1.27	1.00
1719.726563	-6.41	0.87	1.00
1722.656250	-6.41	0.51	1.00
1725.585938	-6.41	0.18	1.00
1728.515625	-6.42	-0.13	1.00
1731.445313	-6.43	-0.42	1.00
1734.375000	-6.45	-0.69	1.00
1737.304688	-6.46	-0.95	1.00
1740.234375	-6.48	-1.18	1.00
1743.164063	-6.51	-1.39	1.00
1746.093750	-6.53	-1.57	1.00
1749.023438	-6.56	-1.74	1.00
1751.953125	-6.59	-1.88	1.00
1754.882813	-6.62	-1.99	1.00
1757.812500	-6.65	-2.08	1.00
1760.742188	-6.67	-2.16	1.00
1763.671875	-6.70	-2.21	1.00
1766.601563	-6.72	-2.25	1.00
1769.531250	-6.75	-2.27	1.00
1772.460938	-6.77	-2.28	1.00
1775.390625	-6.80	-2.29	1.00
1778.320313	-6.82	-2.28	1.00
1781.250000	-6.84	-2.27	1.00
1784.179688	-6.86	-2.25	1.00
1787.109375	-6.88	-2.22	1.00
1790.039063	-6.89	-2.17	1.00
1792.968750	-6.91	-2.12	1.00
1795.898438	-6.93	-2.06	1.00
1798.828125	-6.94	-1.98	1.00
1801.757813	-6.96	-1.90	1.00
1804.687500	-6.97	-1.81	1.00
1807.617188	-6.98	-1.71	1.00
1810.546875	-6.99	-1.61	1.00
1813.476563	-7.00	-1.50	1.00
1816.406250	-7.00	-1.39	1.00
1819.335938	-7.00	-1.28	1.00
1822.265625	-7.01	-1.17	1.00
1825.195313	-7.01	-1.07	1.00
1828.125000	-7.00	-0.97	1.00
1831.054688	-7.00	-0.87	1.00
1833.984375	-7.00	-0.78	1.00
1836.914063	-6.99	-0.70	1.00
1839.843750	-6.98	-0.62	1.00
1842.773438	-6.97	-0.56	1.00
1845.703125	-6.97	-0.50	1.00
1848.632813	-6.96	-0.45	1.00
1851.562500	-6.95	-0.41	1.00
1854.492188	-6.94	-0.38	1.00
1857.421875	-6.93	-0.35	1.00
1860.351563	-6.92	-0.34	1.00
1863.281250	-6.91	-0.33	1.00
1866.210938	-6.90	-0.33	1.00
1869.140625	-6.89	-0.33	1.00
1872.070313	-6.89	-0.34	1.00
1875.000000	-6.88	-0.35	1.00
1877.929688	-6.88	-0.37	1.00
1880.859375	-6.87	-0.38	1.00
1883.789063	-6.87	-0.40	1.00
1886.718750	-6.86	-0.42	1.00
1889.648438	-6.86	-0.44	1.00
1892.578125	-6.86	-0.46	1.00
1895.507813	-6.86	-0.48	1.00
1898.437500	-6.86	-0.50	1.00
1901.367188	-6.86	-0.51	1.00
1904.296875	-6.85	-0.53	1.00
1907.226563	-6.85	-0.54	1.00
1910.156250	-6.85	-0.55	1.00
